,actual,predict
0,0.14530104,0.14594595
1,0.14530104,0.14054054
2,0.14530104,0.14054054
3,0.14647618,0.13513513
4,0.14647618,0.12972973
5,0.14766598,0.12432432
6,0.14887045,0.12432432
7,0.15009053,0.12432432
8,0.15009053,0.12972973
9,0.15009053,0.12972973
10,0.14887045,0.13513513
11,0.14887045,0.14054054
12,0.14766598,0.14054054
13,0.14647618,0.13513513
14,0.14647618,0.12972973
15,0.14766598,0.12432432
16,0.14887045,0.11891892
17,0.15009053,0.11891892
18,0.15215878,0.12432432
19,0.24346481,0.14594595
20,0.3758377,0.40609136
21,0.3758377,0.40609136
22,0.37109986,0.40101522
23,0.37109986,0.40101522
24,0.36636347,0.40101522
25,0.36636347,0.39593908
26,0.36636347,0.39593908
27,0.36162847,0.39593908
28,0.36162847,0.39593908
29,0.36162847,0.39593908
30,0.36162847,0.39593908
31,0.36162847,0.40101522
32,0.36162847,0.40609136
33,0.36636347,0.4111675
34,0.37109986,0.4111675
35,0.3758377,0.41624364
36,0.3758377,0.41624364
37,0.380577,0.41624364
38,0.380577,0.41624364
39,0.228936,0.41624364
40,0.17441888,0.192
41,0.17441888,0.192
42,0.17441888,0.192
43,0.17441888,0.196
44,0.17441888,0.204
45,0.17790802,0.208
46,0.18490909,0.216
47,0.18842097,0.22
48,0.19546731,0.224
49,0.19900174,0.224
50,0.20254363,0.22
51,0.20254363,0.212
52,0.19900174,0.204
53,0.19194038,0.196
54,0.18490909,0.192
55,0.17790802,0.192
56,0.17441888,0.192
57,0.17441888,0.196
58,0.17441888,0.204
59,0.21938473,0.208
60,0.22706111,0.22807017
61,0.21657662,0.21637426
62,0.20615532,0.21637426
63,0.19579767,0.22222222
64,0.19579767,0.23391813
65,0.20096853,0.25146198
66,0.21135806,0.2748538
67,0.22706111,0.2982456
68,0.2482181,0.31578946
69,0.2696223,0.32748538
70,0.2858637,0.32748538
71,0.29678118,0.32748538
72,0.29678118,0.31578946
73,0.29678118,0.2982456
74,0.2858637,0.28070176
75,0.2696223,0.26900584
76,0.25354612,0.25146198
77,0.24290554,0.23976608
78,0.22706111,0.23391813
79,0.14541565,0.22807017
