,actual,predict
0,0.628303,0.75000006
1,0.6588271,0.7692308
2,0.6588271,0.7307692
3,0.674944,0.5961538
4,0.6432934,0.55769235
5,0.5513966,0.49999994
6,0.531764,0.4615385
7,0.50862557,0.55769235
8,0.49767768,0.44230765
9,0.531764,0.5192308
10,0.49361444,0.44230765
11,0.51546544,0.34615386
12,0.49361444,0.4615385
13,0.49074465,0.5769231
14,0.49767768,0.61538464
15,0.54117525,0.49519235
16,0.562404,0.49999994
17,0.50705576,0.49999994
18,0.50862557,0.36538464
19,0.58186007,0.26923078
20,0.6565718,0.8021978
21,0.7338484,0.8021978
22,0.70368016,0.7912088
23,0.70368016,0.7802198
24,0.693947,0.7032967
25,0.6843739,0.7032967
26,0.6219912,0.71428573
27,0.6219912,0.72527474
28,0.6304332,0.6923077
29,0.6389658,0.72527474
30,0.6137607,0.6813187
31,0.6389658,0.73626375
32,0.6057446,0.7692308
33,0.6476708,0.7912088
34,0.674944,0.7582418
35,0.693947,0.73489016
36,0.66566426,0.7582418
37,0.64657176,0.72527474
38,0.66566426,0.6593407
39,0.51323867,0.6593407
