,actual,predict
0,0.16016941,0.1160221
1,0.152222,0.1160221
2,0.14825605,0.1160221
3,0.14825605,0.12707183
4,0.14825605,0.13812155
5,0.15619312,0.14917128
6,0.16415083,0.16574585
7,0.17212914,0.18232045
8,0.18413517,0.19889502
9,0.19618745,0.2044199
10,0.20828591,0.20994475
11,0.21235707,0.2044199
12,0.21651153,0.19889502
13,0.21235707,0.1878453
14,0.20828591,0.17679559
15,0.20021515,0.16574585
16,0.19216488,0.160221
17,0.18413517,0.15469614
18,0.18012802,0.160221
19,0.23981078,0.16574585
20,0.3237063,0.33742332
21,0.31893247,0.33128834
22,0.31416485,0.3190184
23,0.30940342,0.31288344
24,0.29989934,0.30674848
25,0.2951566,0.3006135
26,0.29042011,0.29447854
27,0.2856899,0.3006135
28,0.28096586,0.3006135
29,0.2856899,0.30674848
30,0.2856899,0.3190184
31,0.29042011,0.32515338
32,0.29989934,0.33128834
33,0.30464828,0.33128834
34,0.30940342,0.33128834
35,0.30940342,0.33128834
36,0.30940342,0.33128834
37,0.30940342,0.32515338
38,0.30940342,0.32515338
39,0.24359715,0.32515338
40,0.19158606,0.176
41,0.19158606,0.176
42,0.19158606,0.176
43,0.19158606,0.18
44,0.19158606,0.18
45,0.19449736,0.184
46,0.19449736,0.184
47,0.19741134,0.18
48,0.19741134,0.176
49,0.19449736,0.172
50,0.19158606,0.168
51,0.18867747,0.168
52,0.18577157,0.168
53,0.18577157,0.172
54,0.18577157,0.176
55,0.18867747,0.18
56,0.19158606,0.184
57,0.19449736,0.184
58,0.19741134,0.184
59,0.25119856,0.18
60,0.24068315,0.21568628
61,0.23075306,0.21568628
62,0.22085147,0.21568628
63,0.22085147,0.22875817
64,0.22085147,0.23529412
65,0.23075306,0.24836601
66,0.23571457,0.25490198
67,0.2456589,0.25490198
68,0.25064176,0.25490198
69,0.25064176,0.25490198
70,0.25064176,0.24836601
71,0.25064176,0.24183007
72,0.2456589,0.24183007
73,0.24068315,0.24183007
74,0.24068315,0.24836601
75,0.24068315,0.26143792
76,0.2456589,0.27450982
77,0.25563174,0.2875817
78,0.26563302,0.3006536
79,0.23706426,0.30718955
