,actual,predict
0,115.05973,6.79
1,115.93618,6.78
2,116.09577,6.74
3,116.176674,6.69
4,116.50727,6.65
5,116.936264,6.62
6,117.29177,6.6
7,117.56523,6.56
8,117.75069,6.52
9,118.128494,6.51
10,118.51486,10.36
11,118.61265,10.21
12,141.10104,9.78
13,140.1075,9.34
14,135.98734,8.43
15,130.30167,7.51
16,116.62054,7.23
17,117.065155,7.26
18,116.18286,7.23
19,-2.3836488e+34,7.07
20,117.163956,1015.36
21,115.54786,1012.61
22,117.198845,1013.04
23,115.3397,1015.05
24,115.69483,1016.35
25,117.01396,1016.2
26,117.23609,1016.05
27,117.22157,1015.19
28,117.23306,1014.32
29,117.09441,1014.03
30,116.66193,1026.23
31,116.528465,1026.24
32,134.6806,1026.28
33,134.7348,1026.33
34,134.95207,1021.99
35,134.98824,1017.65
36,117.46751,1016.31
37,116.914925,1016.48
38,117.22933,1016.96
39,-2.4085758e+34,1018.08
40,136.24535,98.19
41,136.37895,98.64
42,137.2436,98.67
43,138.19028,98.47
44,138.25142,98.34
45,137.83826,98.33
46,137.56396,98.32
47,137.54259,98.34
48,137.5213,98.35
49,137.56396,98.36
50,137.5852,90.03
51,137.6064,90.64
52,116.66849,92.47
53,121.11691,94.31
54,120.73381,95.8
55,127.40544,97.3
56,134.4767,97.67
57,135.90388,97.47
58,136.30074,97.37
59,-2.634586e+34,97.45
60,132.79271,154.83
61,131.02457,155.07
62,131.72226,157.98
63,132.41151,162.09
64,135.66812,166.03
65,139.58414,169.79
66,142.9392,173.31
67,152.55077,174.36
68,156.19626,175.4
69,157.87321,175.74
70,156.87712,153.38
71,156.17181,152.81
72,127.988075,150.65
73,126.74203,147.44
74,123.01423,148.15
75,118.04167,149.08
76,117.479256,151.8
77,118.04053,154.94
78,124.86937,156.67
79,-2.593689e+34,156.23
80,119.12916,9.85
81,120.03917,9.93
82,119.86569,10.07
83,119.66811,10.27
84,119.32423,10.53
85,118.83894,10.84
86,118.22224,11.2
87,117.514175,11.26
88,116.7364,11.33
89,116.61177,11.35
90,116.468346,19.58
91,116.427666,18.56
92,117.51389,15.52
93,113.05547,12.52
94,117.16461,11.05
95,115.24051,9.58
96,117.05421,9.52
97,120.53609,10.2
98,120.68524,10.57
99,-2.431854e+34,10.25
