,actual,predict
0,0.5106126,0.4693877
1,0.5552504,0.5306123
2,0.60901415,0.4285714
3,0.63598007,0.44897956
4,0.5910693,0.44897956
5,0.6000385,0.36734694
6,0.6000385,0.44897956
7,0.5641954,0.44897956
8,0.6000385,0.48979586
9,0.6000385,0.63265306
10,0.61799634,0.59183675
11,0.681049,0.4285714
12,0.6630029,0.59183675
13,0.5910693,0.6530612
14,0.6630029,0.6530612
15,0.69008106,0.755102
16,0.69008106,0.6938775
17,0.7353303,0.63265306
18,0.70816326,0.6530612
19,0.727517,0.55102044
20,0.5960913,0.6399999
21,0.6666101,0.61999995
22,0.68429977,0.66
23,0.67545205,0.66
24,0.69315344,0.59999996
25,0.69315344,0.6399999
26,0.6666101,0.61999995
27,0.68429977,0.61999995
28,0.67545205,0.66
29,0.67545205,0.61999995
30,0.69315344,0.61999995
31,0.67545205,0.59999996
32,0.67545205,0.6399999
33,0.6666101,0.68
34,0.68429977,0.75999993
35,0.70201266,0.75999993
36,0.7375059,0.75999993
37,0.7375059,0.71999997
38,0.7375059,0.59999996
39,0.71954715,0.52000004
