,actual,predict
0,-0.29365635,-0.224149
1,-0.29365635,-0.224149
2,-0.25346392,-0.18065701
3,-0.21316014,-0.224149
4,-0.21316014,-0.26764098
5,-0.17275666,-0.39811695
6,-0.21316014,-0.48510092
7,-0.25346392,-0.61557686
8,-0.37370363,-0.70256084
9,-0.45325726,-0.74605286
10,-0.57171243,-0.74605286
11,-0.6500857,-0.6590689
12,-0.6890853,-0.5285929
13,-0.6890853,-0.39811695
14,-0.610961,-0.26764098
15,-0.49285436,-0.18065701
16,-0.37370363,-0.13716502
17,-0.25346392,-0.18065701
18,-0.17275666,-0.26764098
19,-0.13226424,-0.39811695
20,-0.17275666,-0.5285929
21,-0.25346392,-0.6590689
22,-0.37370363,-0.7895448
23,-0.49285436,-0.83303684
24,-0.610961,-0.7895448
25,-0.72796184,-0.70256084
26,-0.76671183,-0.5720849
27,-0.72796184,-0.39811695
28,-0.6500857,-0.26764098
29,-0.53234166,-0.18065701
