,actual,predict
0,-0.66042787,-0.6106188
1,-0.65724725,-0.8353124
2,-0.59086335,-1.0084864
3,-0.55829126,-1.2217058
4,-0.76182336,-1.5169599
5,-0.9173891,-1.6276659
6,-1.1069701,-1.6084542
7,-1.3667468,-1.5265316
8,-1.4630762,-1.3298064
9,-1.4463971,-1.2341361
10,-1.3750993,-1.0681751
11,-1.2024466,-0.72774327
12,-1.1179689,-0.52097684
13,-0.9706551,-0.39874673
14,-0.6644624,-0.23155467
15,-0.47691885,-0.057556264
16,-0.36589018,0.11386069
17,-0.21377207,0.38940683
18,-0.05449189,0.36468747
19,0.10307306,-0.09851247
20,0.35536036,-0.35413432
21,0.33296427,-0.30133918
22,-0.09212933,-0.2163386
23,-0.32535368,-0.2676939
24,-0.27734908,-0.35882428
25,-0.19988981,-0.28939468
26,-0.24672051,-0.23152263
27,-0.3296167,-0.08809533
28,-0.26647982,0.25904822
29,-0.21374285,0.4417136
