,actual,predict
0,0.23230447,0.16176471
1,0.31766063,0.20588236
2,0.21337366,0.16176471
3,0.2417751,0.1764706
4,0.21337366,0.25
5,0.22283733,0.1764706
6,0.2702074,0.20588236
7,0.22283733,0.19117647
8,0.2417751,0.16176471
9,0.23230447,0.14705883
10,0.21337366,0.23529412
11,0.20391344,0.22058824
12,0.26072657,0.1764706
13,0.25124916,0.25
14,0.22283733,0.22058824
15,0.2702074,0.16176471
16,0.25124916,0.19117647
17,0.21337366,0.23529412
18,0.23230447,0.19117647
19,0.2743304,0.22058824
20,0.28633237,0.275
21,0.3024668,0.3
22,0.28633237,0.325
23,0.3024668,0.275
24,0.3186105,0.325
25,0.28633237,0.225
26,0.3186105,0.225
27,0.25409204,0.275
28,0.25409204,0.375
29,0.28633237,0.275
30,0.35092372,0.4
31,0.28633237,0.275
32,0.3670924,0.275
33,0.28633237,0.3
34,0.28633237,0.375
35,0.3024668,0.35
36,0.35092372,0.275
37,0.334763,0.325
38,0.28633237,0.35
39,0.28269023,0.35
40,0.38326854,0.375
41,0.334763,0.375
42,0.35092372,0.35
43,0.35092372,0.35
44,0.334763,0.35
45,0.334763,0.375
46,0.334763,0.35
47,0.35092372,0.325
48,0.334763,0.3
49,0.3186105,0.35
50,0.3024668,0.325
51,0.334763,0.425
52,0.3186105,0.4
53,0.38326854,0.4
54,0.3670924,0.375
55,0.3670924,0.375
56,0.35092372,0.4
57,0.35092372,0.425
58,0.3670924,0.375
59,0.26070496,0.4
60,0.42026925,0.48214287
61,0.40870288,0.48214287
62,0.42026925,0.53571427
63,0.42026925,0.53571427
64,0.4549902,0.53571427
65,0.4549902,0.53571427
66,0.4549902,0.5535714
67,0.4549902,0.60714287
68,0.46657112,0.5535714
69,0.5013345,0.5535714
70,0.46657112,0.53571427
71,0.46657112,0.5
72,0.4549902,0.51785713
73,0.43183923,0.53571427
74,0.4434129,0.48214287
75,0.4549902,0.5
76,0.42026925,0.51785713
77,0.43183923,0.53571427
78,0.4434129,0.51785713
79,0.23547985,0.5
80,0.11508669,0.010144928
81,0.11230095,0.007971015
82,0.116015345,0.006521739
83,0.114622384,0.008695652
84,0.113693774,0.00759058
85,0.11508669,0.009557971
86,0.114378616,0.010869565
87,0.11563924,0.019565217
88,0.11647968,0.017391304
89,0.12205255,0.015217391
90,0.1206592,0.016666668
91,0.11926593,0.013194294
92,0.12019476,0.009625544
93,0.11796942,0.007246377
94,0.11568253,0.00942029
95,0.11415808,0.010869565
96,0.115550995,0.006521739
97,0.11647968,0.0036231885
98,0.113693774,0.0057971017
99,0.23745169,0.006521739
100,0.15892342,0.15251572
101,0.21146941,0.11163522
102,0.20742342,0.108490564
103,0.18114051,0.11792453
104,0.17911994,0.10691824
105,0.18518221,0.08490566
106,0.1781097,0.108490564
107,0.16397095,0.12421384
108,0.17911994,0.1855346
109,0.18922457,0.15880503
110,0.22867203,0.11320755
111,0.21146941,0.11320755
112,0.1821509,0.14937107
113,0.1821509,0.121069185
114,0.20540068,0.13836478
115,0.1872033,0.13050315
116,0.1983223,0.1336478
117,0.1932676,0.11792453
118,0.19528934,0.12264151
119,0.2387665,0.10220126
120,0.43183923,0.4473684
121,0.36368775,0.47368422
122,0.397748,0.55263156
123,0.41478997,0.5
124,0.4659615,0.5263158
125,0.43183923,0.47368422
126,0.44889647,0.47368422
127,0.41478997,0.57894737
128,0.41478997,0.57894737
129,0.48303413,0.5263158
130,0.48303413,0.57894737
131,0.44889647,0.5
132,0.48303413,0.5263158
133,0.43183923,0.55263156
134,0.44889647,0.5263158
135,0.4659615,0.55263156
136,0.44889647,0.5263158
137,0.4659615,0.6052632
138,0.44889647,0.57894737
139,0.25565493,0.55263156
140,0.14156821,0.05
141,0.14424127,0.0525
142,0.14156821,0.054166667
143,0.14317203,0.05
144,0.14424127,0.049895834
145,0.14156821,0.06745833
146,0.1415014,0.079166666
147,0.15277043,0.12916666
148,0.16028614,0.125
149,0.19240838,0.108333334
150,0.1897299,0.09166667
151,0.17901894,0.08758594
152,0.16831267,0.08503438
153,0.16569206,0.083333336
154,0.16405359,0.07333333
155,0.16296135,0.06666667
156,0.15654138,0.064166665
157,0.15226234,0.0625
158,0.1506579,0.05
159,0.27120817,0.05
160,0.22674397,0.2104332
161,0.2445618,0.20995164
162,0.24470656,0.17128225
163,0.24439633,0.14550264
164,0.21949805,0.19659688
165,0.20291258,0.18657526
166,0.23579484,0.17989418
167,0.22934201,0.1984127
168,0.22504103,0.22857143
169,0.2369642,0.24867725
170,0.25639364,0.1957672
171,0.26935452,0.13492064
172,0.23526055,0.13968255
173,0.19610773,0.14285715
174,0.19916967,0.18359788
175,0.20121118,0.2210582
176,0.22742519,0.24603175
177,0.25155202,0.26984128
178,0.26764876,0.26455027
179,0.30694118,0.26984128
