,actual,predict
0,0.1904762,0.25948703
1,0.20734127,0.25948703
2,0.15674603,0.24902906
3,0.20734127,0.25948703
4,0.15674603,0.22812176
5,0.13988096,0.25948703
6,0.08928572,0.22812176
7,0.07242063,0.21767248
8,0.22420634,0.1863422
9,0.24107145,0.1759048
10,0.15674603,0.2699477
11,0.13988096,0.28041124
12,0.22420634,0.22812176
13,0.1904762,0.21767248
14,0.20734127,0.2699477
15,0.35912699,0.24902906
16,0.2916667,0.25948703
17,0.30853176,0.3537274
18,0.2748016,0.31181717
19,0.08928572,0.2701497
20,0.175,0.24040341
21,0.15,0.20748721
22,0.125,0.20748721
23,0.125,0.19104
24,0.125,0.17460033
25,0.15,0.17460033
26,0.15,0.17460033
27,0.2,0.19104
28,0.32500002,0.19104
29,0.25,0.22394171
30,0.3,0.30631942
31,0.275,0.25687227
32,0.25,0.28983057
33,0.35,0.27334806
34,0.25,0.25687227
35,0.32500002,0.32281473
36,0.3,0.25687227
37,0.3,0.30631942
38,0.32500002,0.28983057
39,0.22500001,0.2701428
40,0.52500004,0.28983057
41,0.55,0.4053548
42,0.6,0.4383415
43,0.575,0.45482463
44,0.65000004,0.48777384
45,0.625,0.47130117
46,0.575,0.52068573
47,0.47500002,0.5042388
48,0.375,0.47130117
49,0.425,0.4053548
50,0.4,0.3393163
51,0.425,0.37233317
52,0.45000002,0.35582376
53,0.35000002,0.37233317
54,0.375,0.38884288
55,0.3,0.32281473
56,0.32500002,0.3393163
57,0.4,0.28983057
58,0.3,0.30631942
59,0.3,0.27016073
60,0.65384614,0.46234065
61,0.65384614,0.508569
62,0.65384614,0.4854622
63,0.69230765,0.4854622
64,0.6153846,0.4854622
65,0.49999997,0.508569
66,0.5576923,0.46234065
67,0.65384614,0.39289838
68,0.65384614,0.42764005
69,0.67307687,0.4854622
70,0.6153846,0.4854622
71,0.5961538,0.4970197
72,0.63461536,0.46234065
73,0.6153846,0.45077682
74,0.5961538,0.4739026
75,0.5384615,0.46234065
76,0.5961538,0.45077682
77,0.6153846,0.4160672
78,0.65384614,0.45077682
79,0.7307692,0.2702237
80,0.017543858,0.09489544
81,0.017543858,0.09489544
82,0.017543858,0.09442017
83,0.026315788,0.09442017
84,0.026315788,0.09442017
85,0.017543858,0.09489544
86,0.026315788,0.09489544
87,0.026315788,0.09442017
88,0.19298244,0.09489544
89,0.18421051,0.09489544
90,0.21929823,0.10392692
91,0.21929823,0.10345151
92,0.19298244,0.10535316
93,0.21929823,0.10535316
94,0.19298244,0.10392692
95,0.25438595,0.10535316
96,0.25438595,0.10392692
97,0.26315787,0.107254945
98,0.24561402,0.107254945
99,0.21929823,0.27009016
100,0.16110304,0.14692657
101,0.1436865,0.11297358
102,0.13207547,0.14792572
103,0.12046444,0.14193128
104,0.11320755,0.1379356
105,0.4600871,0.13394038
106,0.09724238,0.1314436
107,0.07837445,0.25098526
108,0.017416544,0.1259514
109,0.042089984,0.11946184
110,0.11756168,0.09850447
111,0.094339624,0.10698558
112,,0.13294165
113,0.0014513773,0.12495291
114,0.09724238,0.18598431
115,0.1436865,0.09301789
116,0.09288824,0.1259514
117,0.14804064,0.14193128
118,0.08563135,0.12445368
119,0.13642961,0.27010894
120,0.65789485,0.34324616
121,0.65789485,0.48463663
122,0.6842106,0.48463663
123,0.7105264,0.48463663
124,0.6842106,0.50031996
125,0.52631587,0.5159885
126,0.5789475,0.50031996
127,0.65789485,0.40614095
128,0.65789485,0.4375565
129,0.65789485,0.48463663
130,0.60526323,0.48463663
131,0.5789475,0.48463663
132,0.63157904,0.45325512
133,0.60526323,0.4375565
134,0.5000001,0.4689476
135,0.39473695,0.45325512
136,0.4736843,0.39041546
137,0.5789475,0.32752883
138,0.5526317,0.37469143
139,0.60526323,0.27018017
140,0.12489852,0.19054915
141,0.109910704,0.18727702
142,0.109910704,0.17746241
143,0.11490664,0.16765055
144,0.11490664,0.16765055
145,0.12489852,0.17092086
146,0.14488229,0.17092086
147,0.15987012,0.17746241
148,0.254793,0.19054915
149,0.23980518,0.20036735
150,0.28976458,0.26260933
151,0.28976458,0.2527749
152,0.28476864,0.28556588
153,0.29975647,0.28556588
154,0.24979705,0.28228557
155,0.24480112,0.29212716
156,0.24480112,0.25933093
157,0.26478487,0.25605276
158,0.23480922,0.25605276
159,0.22481735,0.2701247
160,0.3227513,0.32578284
161,0.2962963,0.3345136
162,0.31746033,0.30483603
163,0.31746033,0.28738835
164,0.36243388,0.30134594
165,0.3703704,0.30134594
166,,0.33102107
167,0.38359788,0.33625996
168,0.48412699,0.31376654
169,0.48412699,0.34499288
170,0.33597884,0.41138065
171,0.3915344,0.41138065
172,0.44444445,0.3135626
173,0.56084657,0.35023344
174,0.41269842,0.38517362
175,,0.46197355
176,0.42592594,0.36420977
177,0.47619048,0.39891952
178,0.37301588,0.37294453
179,0.23015873,0.2701738
