,actual,predict
0,67.0136,75.0
1,73.64373,75.0
2,73.64373,73.0
3,70.991684,74.0
4,70.991684,72.0
5,69.66565,76.0
6,70.328674,70.0
7,69.00264,73.0
8,71.65469,71.0
9,67.67661,74.0
10,69.66565,67.0
11,68.33963,52.0
12,70.328674,38.0
13,65.68757,38.0
14,55.742306,32.0
15,46.45901,56.0
16,46.45901,68.0
17,42.477848,71.0
18,58.39439,71.0
19,66.350586,64.0
20,68.33963,64.0
21,68.33963,73.0
22,63.69852,79.0
23,63.69852,77.0
24,69.66565,70.0
25,73.64373,60.0
26,72.31771,77.0
27,67.67661,73.0
28,61.046467,75.0
29,72.31771,68.0
30,69.66565,68.0
31,70.991684,69.0
32,66.350586,60.0
33,66.350586,63.0
34,67.0136,58.0
35,61.046467,49.0
36,63.035507,42.0
37,59.72043,64.0
38,53.753212,41.0
39,49.11173,41.0
40,63.69852,64.0
41,48.448597,47.0
42,48.448597,35.0
43,63.69852,42.0
44,52.427128,37.0
45,44.468906,67.0
46,49.11173,73.0
47,45.795715,59.0
48,65.68757,71.0
49,60.921474,73.0
