,actual,predict
0,67.85174,72.0
1,67.85174,72.0
2,68.908966,72.0
3,69.94931,71.0
4,71.822136,70.0
5,71.822136,70.0
6,71.822136,66.0
7,70.91882,66.0
8,69.94931,66.0
9,69.94931,70.0
10,65.794556,70.0
11,65.794556,70.0
12,65.794556,71.0
13,69.94931,71.0
14,69.94931,71.0
15,69.94931,71.0
16,70.91882,71.0
17,70.91882,69.0
18,70.91882,69.0
19,70.91882,69.0
20,70.91882,70.0
21,68.908966,67.0
22,68.908966,69.0
23,68.908966,69.0
24,69.94931,69.0
25,66.85969,69.0
26,68.908966,69.0
27,68.908966,69.0
28,68.908966,69.0
29,68.908966,69.0
30,68.908966,69.0
31,68.908966,72.0
32,68.908966,72.0
33,68.908966,71.0
34,68.908966,71.0
35,71.822136,71.0
36,71.822136,70.0
37,70.91882,70.0
38,70.91882,70.0
39,70.91882,71.0
40,69.94931,72.0
41,69.94931,72.0
42,69.94931,72.0
43,70.91882,75.0
44,71.822136,72.0
45,71.822136,72.0
46,71.822136,72.0
47,74.18082,72.0
48,71.822136,69.0
49,71.822136,69.0
50,71.822136,70.0
51,71.822136,70.0
52,68.908966,70.0
53,68.908966,70.0
54,69.94931,70.0
55,69.94931,69.0
56,69.94931,70.0
57,69.94931,70.0
58,69.94931,67.0
59,68.908966,67.0
60,69.94931,67.0
61,69.94931,62.0
62,66.85969,62.0
63,66.85969,65.0
64,66.85969,63.0
65,61.409676,59.0
66,61.409676,59.0
67,64.65835,59.0
68,62.47845,59.0
69,58.38102,61.0
70,58.38102,68.0
71,58.38102,68.0
72,58.38102,68.0
73,60.36593,58.0
74,67.85174,58.0
75,67.85174,55.0
76,67.85174,55.0
77,57.449238,55.0
78,57.449238,55.0
79,54.857235,69.0
80,54.857235,67.0
81,54.857235,70.0
82,54.857235,70.0
83,68.908966,70.0
84,66.85969,61.0
85,69.94931,61.0
86,69.94931,64.0
87,69.94931,64.0
88,60.36593,59.0
89,60.36593,59.0
90,63.56409,59.0
91,63.56409,54.0
92,58.38102,70.0
93,58.38102,68.0
94,58.38102,67.0
95,53.993214,67.0
96,69.94931,67.0
97,67.85174,67.0
98,66.85969,61.0
99,66.85969,61.0
